timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597695891384,2908,Login,200,OK,Thread Group 1-1,text,true,,5682,350,3,3,https://blazedemo.com/login,406,0,68
1597695891384,406,Login-0,302,Found,Thread Group 1-1,text,true,,167,230,3,3,http://blazedemo.com/login,406,0,68
1597695891791,2501,Login-1,200,OK,Thread Group 1-1,text,true,,5515,120,3,3,https://blazedemo.com/login,2488,0,269
1597695893384,1453,Login,200,OK,Thread Group 1-3,text,true,,5678,351,3,3,https://blazedemo.com/login,400,0,55
1597695893384,400,Login-0,302,Found,Thread Group 1-3,text,true,,167,231,3,3,http://blazedemo.com/login,400,0,55
1597695893786,1051,Login-1,200,OK,Thread Group 1-3,text,true,,5511,120,3,3,https://blazedemo.com/login,1038,0,265
1597695892390,2702,Login,200,OK,Thread Group 1-2,text,true,,5686,350,2,2,https://blazedemo.com/login,417,0,74
1597695892390,417,Login-0,302,Found,Thread Group 1-2,text,true,,167,230,2,2,http://blazedemo.com/login,417,0,74
1597695892808,2284,Login-1,200,OK,Thread Group 1-2,text,true,,5519,120,2,2,https://blazedemo.com/login,2271,0,234
1597695895384,1345,Login,200,OK,Thread Group 1-5,text,true,,5682,351,3,3,https://blazedemo.com/login,395,0,65
1597695895384,395,Login-0,302,Found,Thread Group 1-5,text,true,,167,231,3,3,http://blazedemo.com/login,395,0,65
1597695895780,949,Login-1,200,OK,Thread Group 1-5,text,true,,5515,120,3,3,https://blazedemo.com/login,927,0,291
1597695896383,1814,Login,200,OK,Thread Group 1-6,text,true,,5682,351,3,3,https://blazedemo.com/login,379,0,58
1597695896383,379,Login-0,302,Found,Thread Group 1-6,text,true,,167,231,3,3,http://blazedemo.com/login,379,0,58
1597695896763,1434,Login-1,200,OK,Thread Group 1-6,text,true,,5515,120,3,3,https://blazedemo.com/login,1370,0,271
1597695894385,3931,Login,200,OK,Thread Group 1-4,text,true,,5690,351,2,2,https://blazedemo.com/login,1682,0,82
1597695894385,1682,Login-0,302,Found,Thread Group 1-4,text,true,,167,231,2,2,http://blazedemo.com/login,1682,0,82
1597695896068,2248,Login-1,200,OK,Thread Group 1-4,text,true,,5523,120,2,2,https://blazedemo.com/login,2165,0,256
1597695897388,1271,Login,200,OK,Thread Group 1-7,text,true,,5684,351,2,2,https://blazedemo.com/login,442,0,88
1597695897388,442,Login-0,302,Found,Thread Group 1-7,text,true,,167,231,2,2,http://blazedemo.com/login,442,0,88
1597695897832,827,Login-1,200,OK,Thread Group 1-7,text,true,,5517,120,2,2,https://blazedemo.com/login,795,0,246
1597695899387,1233,Login,200,OK,Thread Group 1-9,text,true,,5680,350,3,3,https://blazedemo.com/login,415,0,76
1597695899387,415,Login-0,302,Found,Thread Group 1-9,text,true,,167,230,3,3,http://blazedemo.com/login,415,0,76
1597695899804,816,Login-1,200,OK,Thread Group 1-9,text,true,,5513,120,3,3,https://blazedemo.com/login,768,0,277
1597695898386,2283,Login,200,OK,Thread Group 1-8,text,true,,5680,350,2,2,https://blazedemo.com/login,413,0,65
1597695898386,413,Login-0,302,Found,Thread Group 1-8,text,true,,167,230,2,2,http://blazedemo.com/login,413,0,65
1597695898800,1869,Login-1,200,OK,Thread Group 1-8,text,true,,5513,120,2,2,https://blazedemo.com/login,1829,0,237
1597695900386,2524,Login,200,OK,Thread Group 1-10,text,true,,5684,352,1,1,https://blazedemo.com/login,404,0,69
1597695900386,404,Login-0,302,Found,Thread Group 1-10,text,true,,167,232,1,1,http://blazedemo.com/login,404,0,69
1597695900791,2119,Login-1,200,OK,Thread Group 1-10,text,true,,5517,120,1,1,https://blazedemo.com/login,1981,0,243
